FAKENIX_geoengineeringwatch.org,FAKENIX_clickhole.com,FAKENIX_consciouslifenews.com,FAKENIX_intellihub.com,FAKENIX_empirenews.net,FAKENIX_thefreethoughtproject.com,FAKENIX_yournewswire.com,FAKENIX_react365.com,FAKENIX_globalresearch.ca,FAKENIX_collective-evolution.com,FAKENIX_dcclothesline.com,FAKENIX_duffelblog.com,FAKENIX_occupydemocrats.com,FAKENIX_wnd.com,FAKENIX_twitchy.com,FAKENIX_hangthebankers.com,FAKENIX_flyheight.com,RNIX_theage.com.au,RNIX_adelaidenow.com.au,RNIX_heraldsun.com.au,RNIX_crikey.com.au,RNIX_au.news.yahoo,RNIX_thewest.com.au,RNIX_themercury.com.au,RNIX_afr.com,RNIX_9news.com.au,RNIX_huffingtonpost.com.au,RNIX_dailytelegraph.com.au,RNIX_couriermail.com.au,RNIX_brisbanetimes.com.au,RNIX_independentaustralia.net,RNIX_news.com.au,RNIX_ntnews.com.au,RNIX_theaustralian.com.au,RNIX_perthnow.com.au,RNIX_newmatilda.com,RNIX_canberratimes.com.au,RNIX_skynews.com.au,RNIX_watoday.com.au,RNIX_thesaturdaypaper.com.au,class
1.4929493051657343,4.62266398842577,1.3530386509193308,1.823855297115584,1.179957856923637,1.5916777966586826,2.535691205122225,1.04545736608059,2.517732273955797,1.472502675308015,2.439826356636581,3.282767365611129,2.1302233620907187,2.052912551148023,2.029212132057148,2.0246233741342,1.1584923597108576,1.8943101941432845,1.200500494459065,2.045394661112768,2.315018292933308,1.0026570676961646,2.1389689882457668,1.125871486755009,2.3426577735062324,2.0119474113007443,1.6515195096520876,1.680982033144043,1.4507489517206835,2.0232551773569623,2.304002412741621,2.127459694817082,1.5163070784010984,1.936143690578712,1.5724921031040249,1.9873148302810035,1.5096455088855814,2.6108622800128742,1.657084419040559,2.2893703257109275,0
1.4828191952062588,4.640683631048687,1.1548306000831197,1.7779016839634525,1.0959799889359578,1.6858401406603816,2.651670663401252,1.3505651730573711,2.4958917568300856,1.4304901204439733,2.3609608930208807,3.26796588329668,2.069556078833202,1.8826074623294309,1.873218548582114,1.8887050268994623,1.02242516135696,1.8397161346258828,1.1721216320247798,2.209300491737477,2.22233083152248,1.1571239862094975,2.192142874779174,1.1429183081801613,2.3820976924177253,1.9138715739962937,1.689946001895444,1.8625486322361453,,1.9458714756418785,2.2396811884003265,2.35157741425251,1.5427628881182065,1.9350264883085289,1.575110936632106,2.022995020773746,1.652376299007403,2.545651834376406,1.5983917833701278,2.291766637002026,0
1.2766237128587197,4.6550607880704895,1.2115362805717416,1.719628084167557,1.2343956283458066,1.6616485094859446,2.441407248315569,1.1460881126459117,2.614983687519909,1.4453693505315948,2.3970152152414963,3.31406277831525,2.0065038073823667,2.1005260789376567,1.9743021133525496,2.0857853956022128,1.2136967086432846,2.005202530739576,1.152638244288025,1.9417509494829293,2.446851498045928,1.0298939045082651,2.2038314173067604,1.0988182160748683,2.430253911493059,2.044866451242384,1.7901457471590223,1.5252872907767925,1.3112352436525536,2.130115682510089,2.364136274439204,2.247749770735485,1.4930727494286844,1.871669599363348,1.7758369200987951,1.9435946083461912,1.5742012649783372,2.484491176401207,1.4931830580357603,2.302782297023364,0
1.3942949228234665,4.675464397106822,1.3228062555717108,1.8157834117899256,1.1409507193744457,1.6133924333988414,2.6474946466801548,0.9488025965977516,2.30650215414098,1.3642747789858651,2.4187949650153757,3.296967658194813,2.2974060371356697,1.9034441392986816,1.9326359932784327,2.1515503565513154,1.100161052550909,2.03108658213745,1.1796382454795105,2.0206489294811365,2.2632171926884554,1.1830652845142808,2.2060342647360525,1.1165133708605297,2.472585092791058,2.0406408539297183,1.5903756840279253,1.9634836773520687,0.8502871199746205,1.8992059823788292,2.278994135703299,2.192573365509217,1.603125649949959,1.9337002466034725,1.7539226474657803,1.9923198946772287,1.5663604753032427,2.5596347683256604,1.5673159226288818,2.3146762666254728,0
1.4436746058361638,4.610220047564159,1.3033760327809671,1.7766591789282946,1.2027958859587269,1.6878464198619976,2.613112862257236,1.1171929946058656,2.7282491508236064,1.4642978180183566,2.4445711112235924,3.273929543363807,2.316417978082228,2.0468616135229123,1.9371788132450756,2.05353339443615,1.073703281839287,1.9815898267414929,1.1560561269258822,2.0054942395877915,2.453410919638158,1.2050753386634865,2.1482274488072544,1.0810869628531352,2.555443849562021,2.046948602036746,1.8080048424923965,1.5219825696303455,1.4582744364095137,2.030227475781048,2.316491666468651,2.266436727045296,1.5936428976523964,1.993267035757805,1.698390843543304,2.048366709117972,1.2142930527837892,2.6131560247533137,1.4703841345788071,2.2184633500162003,0
1.2563665388912768,4.558247233086444,1.180343044795462,1.7898911531739776,1.0952890282552854,1.75761884795923,2.480392672808198,1.0587089587546985,2.5414368855907057,1.3964217751391568,2.40448810965973,3.307492283235068,2.210217454385685,2.0190964573748778,2.02673810627912,2.078328822228751,1.173635557720302,1.9406120963002085,1.1953624793553987,2.094567915527794,2.1778714846257787,1.055134414499351,2.2296479213937115,1.1043539705308694,2.394460671522698,2.053538957753952,1.6781511760704872,1.702987544758246,1.157014824945212,2.097110256892945,2.299566304279216,2.2272876119069345,1.5600959476616607,1.9155078312916245,1.8140285158287577,1.9137675306674944,1.6199891573098335,2.558399645192261,1.5191316605396037,2.315559501577474,0
1.3548131382810236,4.630101614765556,1.22443620971168,1.844591860207669,1.318341073214073,1.674965111656141,2.6669615798450392,0.8240249432491561,2.45183007911922,1.5121651547860795,2.437488865519029,3.267394285064845,2.4487126975975637,2.095298181093691,2.1184303757308607,2.2507174917436994,1.1077409222331187,2.086086446822161,1.155165089009215,2.071170108210555,2.327059940468996,1.0501490053923128,2.271169797120741,1.0945510710968849,2.3721970993553705,1.8961286505231336,1.877461473422204,1.7009004679208517,1.3555458448675777,2.0708026350459185,2.236096068233933,2.26696902681194,1.5450658735187075,1.9696091590932827,1.6852184561361192,2.0125670933959623,1.4977208515928466,2.582046152328833,1.5204110708830814,2.3691033557548806,0
1.3534655212904034,4.618363556959012,1.373361165025699,1.8326206698437164,1.1798642457494013,1.7540754101852778,2.4263689411242875,1.1338290470299544,2.2616969494523245,1.4997802944280405,2.399556365324969,3.30466077699804,2.0467017681773068,1.9385194056263093,1.877643292682709,1.95652784034992,1.1416957298186436,1.944288836971754,1.144609387485365,2.071960688086269,2.3237214698649296,1.281947456227979,2.198172703418185,1.11571323087396,2.474025825714937,2.0520286579304985,1.8717430964379629,1.7870437933905874,1.5215424631447632,2.033264368588396,2.307298428248217,2.284647914230555,1.5764200465162015,1.908014729052,1.7455848043182884,2.045535006145718,1.5414949642393718,2.509012001889137,1.5709881388320015,2.351656731083687,0
1.475317186838055,4.558339438701902,1.2763195642670335,1.857876591222036,1.1523941017034165,1.6439328690137944,2.32138233164024,1.0566607930678025,2.3184540089683563,1.4749984946984738,2.4971600012193496,3.336179672186673,2.346071501655947,2.0453747464414875,2.037072173548917,2.1782550230968765,1.1126848944944907,1.9873414603564752,1.1399204010752244,1.9777468480007447,2.369060258814529,0.8204974951055538,2.1499050759838307,1.0742491581673703,2.3927249024442028,2.0582687741219265,1.960569056705254,1.5704037752131468,1.365557045776526,2.1168114312807984,2.301453272967516,2.2026544457227013,1.455627213194174,1.978209567577095,1.7021282081837823,2.0229516361269786,1.454471319995355,2.5909359186800223,1.5305548382882628,2.2699408464538435,0
1.4272195096356697,4.62860811779027,1.4025774662050656,1.8277168501391323,1.182696798565516,1.6333634029386497,2.457086390341512,0.8440888538710863,2.502078376295084,1.5578298865297198,2.424593199819544,3.2907658498699863,2.236323876519934,2.0693898503694106,2.1247907475153323,2.147140720650748,1.1048889558255868,1.9265907900940171,1.1487809830722893,2.0331142017242807,2.296216951185972,1.0609519086126888,2.1836971368833766,1.0745895030307198,2.4404733516604424,1.9717479093808807,1.9922737261183707,1.8127467593696007,1.1855546301080553,2.055253013001571,2.321923224415188,2.368483941559427,1.4935628411636954,2.020837111544503,1.701586988826118,2.0441033488003897,1.61993296168986,2.5331628630264413,1.6010719104085631,2.3094237218831446,0
